City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Karratha,AU,82.0,light rain,-20.7377,116.8463,ibis Styles Karratha
1,Puerto Ayora,EC,86.0,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Rikitea,PF,76.46,few clouds,-23.1203,-134.9692,Pension Maro'i
16,Tautira,PF,87.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
17,Vanimo,PG,78.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
23,Bitkine,TD,88.66,scattered clouds,11.9801,18.2138,
24,Padilla,CO,82.4,broken clouds,3.2204,-76.3139,La Granadina
28,Wajid,SO,81.03,overcast clouds,3.8093,43.2471,xamdihotelresturant114
29,Albany,US,75.2,few clouds,42.6001,-73.9662,
31,Arraial Do Cabo,BR,75.2,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
34,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Jamestown,US,78.8,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
37,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
41,Hilo,US,77.0,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
42,Avarua,CK,80.6,overcast clouds,-21.2078,-159.775,Paradise Inn
45,Brazzaville,CG,80.6,overcast clouds,-4.2658,15.2832,Hotel Murex
50,Baculin,PH,76.3,overcast clouds,7.4525,126.5842,Shovy's Cove
59,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
61,Lorengau,PG,81.97,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
66,Iranshahr,IR,77.0,clear sky,27.2025,60.6848,پلکه بزرگ
70,Saint George,US,82.4,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
71,Quatre Cocos,MU,80.01,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
74,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
75,Pauini,BR,75.94,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
77,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
80,Morgan City,US,82.0,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
87,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
96,Seminole,US,84.0,clear sky,28.7086,-81.2081,Ono Hot Dog Cart and Catering
99,Monroe,US,78.8,few clouds,43.1501,-77.6831,Staybridge Suites Rochester University
101,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
104,Laguna,US,77.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
105,Pacatuba,BR,84.2,clear sky,-3.9842,-38.6203,Pousada das Andreias
106,Sao Joao Da Barra,BR,77.0,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
113,Moranbah,AU,76.39,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
114,Atuona,PF,81.16,few clouds,-9.8,-139.0333,Villa Enata
117,Puerto Rico,AR,76.3,light rain,-26.796,-55.023999999999994,Hotel Cabañas del Prado
119,Muisne,EC,86.0,scattered clouds,0.6,-80.0333,Quinta Samay
121,General Delgado,PY,87.8,clear sky,-27.1667,-56.5167,Andreea Patricia Estate
122,Parakan,ID,82.0,overcast clouds,-6.4191,106.0081,Nandar
124,Mamallapuram,IN,78.8,mist,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
125,Cabo San Lucas,MX,84.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
128,Butaritari,KI,82.24,broken clouds,3.0707,172.7902,Isles Sunset Lodge
130,Shenandoah,US,87.01,clear sky,30.4013,-91.0009,Quality Suites Baton Rouge East - Denham Springs
135,Puro,PH,78.39,overcast clouds,12.4841,123.3827,
136,Sa Kaeo,TH,76.15,scattered clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
137,Vila Velha,BR,75.99,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
138,Puerto Baquerizo Moreno,EC,84.2,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
143,Meulaboh,ID,76.12,overcast clouds,4.1363,96.1285,Kost Pria
144,Maceio,BR,80.6,few clouds,-9.6658,-35.7353,Poutur Pousada
145,Mangrol,IN,78.51,clear sky,21.1167,70.1167,Hotel The Royal Honours
149,Huatusco,MX,84.67,clear sky,19.15,-96.95,Hotel Misión Cocuyos Alta Montaña
152,Puerto Leguizamo,CO,81.91,overcast clouds,-0.1934,-74.7819,la casona de juancho
154,Portales,US,82.0,clear sky,34.1862,-103.3344,Holiday Inn Express & Suites Portales
156,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
158,Kerewan,GM,80.6,clear sky,13.4898,-16.0888,
160,Townsville,AU,78.8,few clouds,-19.25,146.8,Rydges Southbank Townsville
163,Kavieng,PG,80.65,light rain,-2.5744,150.7967,Nusa Island Retreat
164,Manggar,ID,79.5,overcast clouds,-2.8833,108.2667,Guest Hotel
167,Labuhan,ID,78.26,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
170,Hithadhoo,MV,82.62,few clouds,-0.6,73.0833,Scoop Guest House
174,Jhalrapatan,IN,79.83,clear sky,24.55,76.1667,Hotel Krishna Palace
179,Sambava,MG,75.78,overcast clouds,-14.2667,50.1667,Melrose
180,Alampur,IN,81.14,broken clouds,15.8833,78.15,Haritha Hotel Alampur
182,Adrar,MR,80.64,clear sky,20.5022,-10.0711,
183,Cockburn Town,TC,77.0,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
194,Jagalur,IN,75.02,few clouds,14.5333,76.35,Duragabeka Devasthana
196,Mitsamiouli,KM,81.68,light rain,-11.3847,43.2844,Foyer ADM
198,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
199,Sapulpa,US,80.6,clear sky,35.9987,-96.1142,Super 8 by Wyndham Sapulpa/Tulsa Area
203,Saint-Georges,GD,82.4,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
205,Bengkulu,ID,75.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
207,Biaora,IN,80.17,clear sky,23.8667,76.9167,SARPANCH MOTEL HOTEL
210,Faanui,PF,81.82,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
213,Sola,VU,84.2,few clouds,-13.8833,167.55,Leumerus Bungalows
216,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
218,Bathsheba,BB,82.4,few clouds,13.2167,-59.5167,Atlantis Hotel
219,Kidal,ML,85.5,overcast clouds,18.4411,1.4078,
220,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
221,Bandarbeyla,SO,75.42,few clouds,9.4942,50.8122,JABIR HOTEL
222,Hambantota,LK,75.2,scattered clouds,6.1241,81.1185,Bungalow 63
224,Cayenne,GF,80.6,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
229,Port-Gentil,GA,77.0,light rain,-0.7193,8.7815,Fengshui Residence
230,Goderich,CA,78.8,overcast clouds,43.7501,-81.7165,Harmony Inn
237,Qandala,SO,79.43,clear sky,11.472000000000001,49.8728,
242,Ugoofaaru,MV,81.84,few clouds,5.6667,73.0,Ungoofaaru Inn
244,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
245,Hervey Bay,AU,75.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
247,Vallenar,CL,76.15,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
249,Puerto Colombia,CO,82.4,clear sky,10.9878,-74.9547,Hotel El Emigrante
255,Auki,SB,75.45,overcast clouds,-8.7676,160.7034,Auki Motel
260,Poum,NC,77.09,light rain,-20.2333,164.0167,Gîte kajeon
262,Safaga,EG,75.2,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
263,Villa Bruzual,VE,86.25,overcast clouds,9.3328,-69.1208,Edificio Guarente
265,Morant Bay,JM,79.0,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
266,Buala,SB,76.53,heavy intensity rain,-8.145,159.5921,Maringe Lagoon Lodge
269,Diamantino,BR,75.76,light rain,-14.4086,-56.4461,Hotel Delta
272,Cantaura,VE,88.86,overcast clouds,9.3057,-64.3584,Hotel Lorenzana
275,Bartica,GY,82.4,light rain,6.4,-58.6167,Relax Inn Hotel
276,Alto Paraguai,BR,76.6,light rain,-14.5136,-56.4825,Good Rest Palace Hotel
279,Cabedelo,BR,80.6,clear sky,-6.9811,-34.8339,Hotel Pigalle
285,Guhagar,IN,76.23,few clouds,17.4842,73.1929,Hotel Seawinds
286,Sechura,PE,79.84,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
288,Banda Aceh,ID,79.27,scattered clouds,5.5577,95.3222,Sulthan Hotel International
292,Hobyo,SO,81.19,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
294,Saint-Leu,RE,78.8,light rain,-21.15,55.2833,La Caz Oceane
298,Avera,US,77.0,overcast clouds,33.194,-82.5271,
307,Oranjestad,AW,82.4,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
312,Lantangan,PH,79.57,overcast clouds,11.5882,123.3256,Rejohn Beach Resort
